name,miles_per_gallon,cylinders,displacement,hp,weight_lbs,acceleration,year,origin,weight_kg,mpg_category,vehicle_age,origin_encoded,origin_europe,origin_japan,origin_usa
chevrolet chevelle malibu,18.0,8.0,307.0,130.0,3504.0,12.0,70,usa,1589.386368,Low,1956,2,False,False,True
buick skylark 320,15.0,8.0,350.0,165.0,3693.0,11.5,70,usa,1675.115256,Low,1956,2,False,False,True
plymouth satellite,18.0,8.0,318.0,150.0,3436.0,11.0,70,usa,1558.542112,Low,1956,2,False,False,True
amc rebel sst,16.0,8.0,304.0,150.0,3433.0,12.0,70,usa,1557.1813359999999,Low,1956,2,False,False,True
ford torino,17.0,4.0,302.0,140.0,3449.0,10.5,70,usa,1564.4388079999999,Low,1956,2,False,False,True
ford galaxie 500,15.0,8.0,429.0,198.0,4341.0,10.0,70,usa,1969.042872,Low,1956,2,False,False,True
chevrolet impala,14.0,8.0,454.0,220.0,2797.5,9.0,70,usa,1268.92362,Low,1956,2,False,False,True
plymouth fury iii,14.0,8.0,440.0,215.0,4312.0,8.5,70,usa,1955.888704,Low,1956,2,False,False,True
pontiac catalina,14.0,8.0,455.0,92.5,4425.0,10.0,70,usa,2007.1446,Low,1956,2,False,False,True
amc ambassador dpl,15.0,8.0,390.0,190.0,3850.0,8.5,70,usa,1746.3292,Low,1956,2,False,False,True
dodge challenger se,15.0,8.0,383.0,170.0,3563.0,10.0,70,usa,1616.148296,Low,1956,2,False,False,True
plymouth 'cuda 340,14.0,8.0,340.0,160.0,3609.0,8.0,70,usa,1637.013528,Low,1956,2,False,False,True
chevrolet monte carlo,15.0,4.0,400.0,150.0,3761.0,9.5,70,usa,1705.959512,Low,1956,2,False,False,True
buick estate wagon (sw),14.0,8.0,455.0,225.0,3086.0,10.0,70,usa,1399.784912,Low,1956,2,False,False,True
toyota corona mark ii,24.0,4.0,113.0,95.0,2372.0,15.0,70,japan,1075.920224,Medium,1956,1,False,True,False
plymouth duster,22.0,6.0,198.0,95.0,2833.0,15.5,70,usa,1285.026136,Medium,1956,2,False,False,True
amc hornet,18.0,6.0,199.0,97.0,2774.0,15.5,70,usa,1258.264208,Low,1956,2,False,False,True
ford maverick,21.0,6.0,200.0,85.0,2587.0,16.0,70,usa,1173.442504,Medium,1956,2,False,False,True
datsun pl510,27.0,4.0,97.0,88.0,2130.0,14.5,70,japan,966.1509599999999,Medium,1956,1,False,True,False
volkswagen 1131 deluxe sedan,26.0,4.0,97.0,92.5,1835.0,20.5,70,europe,832.34132,Medium,1956,0,True,False,False
peugeot 504,25.0,4.0,110.0,87.0,2672.0,17.5,70,europe,1211.997824,Medium,1956,0,True,False,False
