sl_no,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary,gender_0,gender_1
1,0.8570514188180072,1,0.05714285714285716,2,0.10416666666666669,1,58.8,0.0945945945945946,False,True
2,0.5867292511201194,2,0.6137142857142859,2,0.7604166666666666,0,66.28,0.0,False,True
3,0.4090226245137383,0,0.2285714285714286,0,0.5208333333333333,0,57.8,0.06756756756756757,False,True
5,0.48581181992745875,1,0.4942857142857142,0,0.9749999999999999,0,55.5,0.30405405405405406,False,True
8,0.2809899722637081,2,0.28571428571428575,2,0.35416666666666663,0,62.14,0.07027027027027027,False,True
9,0.6010241092383187,1,0.4571428571428572,0,0.8612500000000001,0,61.29,0.04189189189189191,False,True
11,0.4090226245137383,1,0.1142857142857143,0,0.25,1,60.85,0.08108108108108109,False,True
12,0.3748666524429274,1,0.6371428571428571,0,0.20833333333333331,0,63.7,0.06756756756756757,False,True
14,0.7717089822914442,1,0.08571428571428569,0,0.375,0,68.63,0.024324324324324326,True,False
16,0.5156816727117559,1,0.37142857142857144,0,0.4583333333333333,0,64.66,0.0,True,False
17,0.32792831235331776,1,0.27428571428571413,0,0.20833333333333331,0,62.54,0.13513513513513514,False,True
20,0.3449967996586302,0,0.3637706511175899,0,0.009999999999999953,0,77.89,0.048648648648648665,False,True
21,0.3023255813953488,1,0.28571428571428575,0,0.0,1,56.7,0.08783783783783786,False,True
22,0.5370172818433966,1,0.8285714285714286,0,0.9375,0,69.06,0.2608108108108108,True,False
23,0.2127160230424578,2,0.46371428571428586,2,0.11520833333333336,1,68.81,0.21621621621621623,True,False
24,0.19564753573714527,2,0.24971428571428558,2,0.875,0,63.62,0.13513513513513514,True,False
25,1.0,2,0.6531428571428572,2,0.9875,0,74.01,0.21621621621621623,False,True
27,0.6010241092383187,1,0.28571428571428575,0,0.9166666666666665,0,57.55,0.05405405405405406,False,True
28,0.3449967996586302,1,0.28571428571428575,0,0.375,1,57.69,0.08783783783783786,False,True
29,0.547685086409217,1,0.3285714285714286,0,0.4864583333333332,0,64.15,0.20270270270270274,False,True
31,0.48367825901429484,1,0.48571428571428577,0,0.041666666666666685,1,56.7,0.06756756756756757,True,False
33,0.6436953275016001,1,0.2971428571428573,0,0.018541666666666734,1,62.21,0.10540540540540541,True,False
34,0.3023255813953488,2,0.7142857142857144,0,0.7916666666666666,0,72.78,0.08108108108108109,True,False
36,0.5796885001066779,1,0.4571428571428572,0,0.4375,1,62.74,0.13513513513513514,True,False
38,0.5370172818433966,2,0.27428571428571413,2,0.16666666666666669,1,55.47,0.16216216216216217,True,False
39,0.1529763174738639,2,0.28571428571428575,0,0.07708333333333345,1,56.86,0.05405405405405406,True,False
40,0.36633240879027096,2,0.2285714285714286,2,0.8958333333333333,0,62.56,0.28513513513513516,False,True
41,0.5583528909750373,1,0.6857142857142857,0,0.20833333333333331,0,66.72,0.11756756756756757,True,False
44,0.7717089822914442,1,0.34285714285714286,0,0.9375,1,62.9,0.13513513513513514,False,True
45,0.47301045444847445,1,0.7142857142857144,0,0.8125,0,69.7,0.0,True,False
48,0.19564753573714527,1,0.02857142857142858,0,0.5833333333333333,0,54.55,0.00540540540540542,False,True
49,0.2383187540004267,1,0.34285714285714286,0,0.29166666666666663,0,62.46,0.06756756756756757,False,True
51,0.47727757627480266,2,0.3542857142857145,0,0.3125,1,62.98,0.0,True,False
54,0.4090036270535523,2,0.4571428571428572,2,0.7708333333333333,1,71.04,0.33783783783783783,False,True
55,0.19564753573714527,2,0.37142857142857144,0,0.4821018835616438,1,65.56,0.021621621621621637,True,False
56,0.33646255600597386,2,0.2571428571428572,0,0.4375,1,52.71,0.02702702702702703,False,True
57,0.4388734798378494,1,0.15428571428571428,0,0.375,0,66.88,0.05405405405405406,False,True
58,0.5370172818433966,1,0.5142857142857143,0,0.625,0,63.59,0.21621621621621623,False,True
59,0.2383187540004267,2,0.34285714285714286,0,0.5,0,57.99,0.0918918918918919,False,True
60,0.31470023469170044,2,0.4602857142857143,2,0.15833333333333338,0,56.66,0.08783783783783786,False,True
61,0.4090036270535523,2,0.4571428571428572,0,0.20833333333333331,0,57.24,0.08108108108108109,False,True
62,0.4815446981011309,1,0.31114285714285717,0,0.2416666666666667,0,62.48,0.13513513513513514,False,True
63,0.28525709409003636,2,0.3257142857142859,2,0.1875,0,59.69,0.05405405405405406,True,False
65,0.47301045444847445,1,0.5428571428571429,0,0.22916666666666663,0,58.78,0.05405405405405406,False,True
67,0.4943460635801152,2,0.28571428571428575,0,0.39416666666666667,1,58.46,0.10135135135135136,False,True
68,0.5903563046724983,1,0.31428571428571433,0,0.38979166666666654,0,60.99,0.10135135135135136,False,True
70,0.47301045444847445,2,0.28571428571428575,2,0.41666666666666663,0,68.07,0.10135135135135136,False,True
71,0.216983144868786,2,0.17142857142857143,2,0.8125,0,65.45,0.21621621621621623,False,True
72,0.41519095370172826,1,0.4285714285714286,0,0.9375,0,66.94,0.05405405405405406,False,True
73,0.3449967996586302,2,0.6285714285714286,0,0.9479166666666666,0,68.53,0.05405405405405406,False,True
74,0.7040751013441432,1,0.4491428571428572,0,0.75,0,59.75,0.024324324324324326,False,True
75,0.2980584595690206,1,0.4057142857142858,0,0.7139583333333333,0,67.2,0.1837837837837838,False,True
77,0.41753787070620874,0,0.4551428571428574,0,0.22916666666666663,0,64.27,0.04054054054054054,True,False
78,0.6223597183699594,2,0.2571428571428572,2,0.3958333333333333,0,57.65,0.4054054054054055,False,True
79,0.8549178579048431,2,0.24285714285714288,2,0.7508333333333335,0,59.42,0.0945945945945946,False,True
81,0.2383187540004267,1,0.37142857142857144,0,0.35416666666666663,1,62.35,0.05405405405405406,True,False
82,0.2596543631320674,2,0.31428571428571433,0,0.75,0,70.2,0.13513513513513514,False,True
84,0.6010241092383187,2,0.34285714285714286,2,0.7083333333333333,0,66.69,0.13513513513513514,False,True
85,0.2596543631320674,2,0.4,2,0.10416666666666669,0,62.0,0.13513513513513514,False,True
86,0.8320887561339874,1,0.6057142857142859,0,0.5987499999999999,0,76.18,0.2702702702702703,True,False
87,0.2596543631320674,1,0.2285714285714286,0,0.35416666666666663,0,57.03,0.02702702702702703,False,True
89,0.2383187540004267,1,0.48571428571428577,0,0.16666666666666669,1,64.36,0.013513513513513514,True,False
90,0.5156816727117559,2,0.37142857142857144,2,0.25,1,62.36,0.013513513513513514,True,False
91,0.8357158096863664,1,0.7428571428571429,0,0.875,0,68.03,0.13513513513513514,True,False
93,0.38766801792191163,2,0.28571428571428575,0,0.4583333333333333,0,59.47,0.04054054054054054,True,False
95,0.2383187540004267,1,0.2285714285714286,0,0.08083333333333342,0,54.97,0.08108108108108109,False,True
96,0.5796885001066779,1,0.2571428571428572,0,0.947083333333333,0,62.16,0.2972972972972973,False,True
97,0.4090036270535523,2,0.5714285714285715,0,0.33333333333333337,0,64.44,0.13513513513513514,True,False
99,0.47301045444847445,1,0.2571428571428572,0,0.41666666666666663,0,57.31,0.02702702702702703,True,False
102,0.4516748453168338,1,0.34285714285714286,0,0.5833333333333333,1,60.44,0.24324324324324326,False,True
