time,temperature_2m,relative_humidity_2m,wind_speed_10m,city
2026-08-13T00:00,21.1,91,11.8,Bengaluru
2026-08-13T01:00,20.9,92,12.3,Bengaluru
2026-08-13T02:00,21.9,87,13.7,Bengaluru
2026-08-13T03:00,23.5,77,15.1,Bengaluru
2026-08-13T04:00,24.3,73,15.3,Bengaluru
2026-08-13T05:00,25.4,68,14.9,Bengaluru
2026-08-13T06:00,27.0,60,15.9,Bengaluru
2026-08-13T07:00,28.0,57,15.8,Bengaluru
2026-08-13T08:00,28.9,55,14.2,Bengaluru
2026-08-13T09:00,28.8,56,14.9,Bengaluru
2026-08-13T10:00,27.1,61,18.0,Bengaluru
2026-08-13T11:00,27.4,60,14.6,Bengaluru
2026-08-13T12:00,27.2,58,13.0,Bengaluru
2026-08-13T13:00,25.1,68,16.4,Bengaluru
2026-08-13T14:00,23.1,84,9.4,Bengaluru
2026-08-13T15:00,22.3,89,9.0,Bengaluru
2026-08-13T16:00,22.3,90,8.6,Bengaluru
2026-08-13T17:00,22.1,86,11.7,Bengaluru
2026-08-13T18:00,22.0,85,12.5,Bengaluru
2026-08-13T19:00,21.5,87,12.9,Bengaluru
2026-08-13T20:00,21.0,89,12.8,Bengaluru
2026-08-13T21:00,20.7,92,12.0,Bengaluru
2026-08-13T22:00,20.5,94,12.0,Bengaluru
2026-08-13T23:00,20.3,95,12.2,Bengaluru
2026-08-14T00:00,20.3,93,11.3,Bengaluru
2026-08-14T01:00,20.1,94,10.1,Bengaluru
2026-08-14T02:00,21.3,88,12.4,Bengaluru
2026-08-14T03:00,23.5,76,14.7,Bengaluru
2026-08-14T04:00,24.7,69,15.4,Bengaluru
2026-08-14T05:00,25.8,65,14.8,Bengaluru
2026-08-14T06:00,27.0,58,16.3,Bengaluru
2026-08-14T07:00,27.5,57,16.4,Bengaluru
2026-08-14T08:00,28.7,55,15.7,Bengaluru
2026-08-14T09:00,29.5,53,16.5,Bengaluru
2026-08-14T10:00,27.8,57,16.3,Bengaluru
2026-08-14T11:00,26.7,63,14.9,Bengaluru
2026-08-14T12:00,27.2,55,15.7,Bengaluru
2026-08-14T13:00,26.2,60,12.1,Bengaluru
2026-08-14T14:00,24.7,70,10.8,Bengaluru
2026-08-14T15:00,22.4,84,13.1,Bengaluru
