time,temperature_2m,relative_humidity_2m
2026-08-13T00:00,22.1,91
2026-08-13T01:00,22.1,91
2026-08-13T02:00,22.7,89
2026-08-13T03:00,23.9,82
2026-08-13T04:00,25.5,73
2026-08-13T05:00,27.4,67
2026-08-13T06:00,28.7,59
2026-08-13T07:00,26.4,69
2026-08-13T08:00,29.3,60
2026-08-13T09:00,26.4,69
2026-08-13T10:00,25.7,77
2026-08-13T11:00,26.7,68
2026-08-13T12:00,26.3,67
2026-08-13T13:00,24.2,82
2026-08-13T14:00,23.7,83
2026-08-13T15:00,22.9,86
2026-08-13T16:00,22.1,90
2026-08-13T17:00,21.7,92
2026-08-13T18:00,22.1,90
2026-08-13T19:00,21.7,91
2026-08-13T20:00,21.3,93
2026-08-13T21:00,21.2,93
2026-08-13T22:00,21.1,94
2026-08-13T23:00,21.0,94
2026-08-14T00:00,21.6,93
2026-08-14T01:00,21.7,92
2026-08-14T02:00,22.8,87
2026-08-14T03:00,24.2,78
2026-08-14T04:00,25.6,72
2026-08-14T05:00,26.9,64
2026-08-14T06:00,28.5,61
2026-08-14T07:00,29.6,57
2026-08-14T08:00,29.5,57
2026-08-14T09:00,24.9,80
2026-08-14T10:00,27.4,66
2026-08-14T11:00,26.6,67
2026-08-14T12:00,24.7,79
2026-08-14T13:00,24.1,81
2026-08-14T14:00,23.3,84
2026-08-14T15:00,22.8,87
2026-08-14T16:00,22.2,90
2026-08-14T17:00,21.8,90
2026-08-14T18:00,22.5,88
2026-08-14T19:00,21.8,91
2026-08-14T20:00,21.3,93
2026-08-14T21:00,21.1,93
2026-08-14T22:00,20.8,94
2026-08-14T23:00,20.6,95
2026-08-15T00:00,21.1,94
2026-08-15T01:00,21.3,91
2026-08-15T02:00,22.2,86
2026-08-15T03:00,23.6,78
2026-08-15T04:00,25.1,69
2026-08-15T05:00,26.7,61
2026-08-15T06:00,27.8,56
2026-08-15T07:00,27.7,59
2026-08-15T08:00,29.3,55
2026-08-15T09:00,28.9,55
2026-08-15T10:00,28.0,56
2026-08-15T11:00,26.8,64
2026-08-15T12:00,26.1,66
2026-08-15T13:00,24.6,73
2026-08-15T14:00,23.5,80
2026-08-15T15:00,22.9,83
2026-08-15T16:00,22.3,86
2026-08-15T17:00,21.8,88
2026-08-15T18:00,22.0,88
2026-08-15T19:00,21.6,89
2026-08-15T20:00,21.3,89
2026-08-15T21:00,21.1,91
2026-08-15T22:00,20.8,92
2026-08-15T23:00,20.7,92
2026-08-16T00:00,21.4,90
2026-08-16T01:00,21.2,90
2026-08-16T02:00,22.4,84
2026-08-16T03:00,24.0,76
2026-08-16T04:00,25.4,69
